,ICC1,ICC2,ICC3,ICC1k,ICC2k,ICC3k
glszm_GrayLevelNonUniformity_log-sigma-1-0-mm-3D,0.9994601552269939,0.9994601554858752,0.9994611140648679,0.9997300047357309,0.9997300048652413,0.9997304844133545
glszm_GrayLevelNonUniformityNormalized_log-sigma-1-0-mm-3D,0.9576962445904459,0.957692010871518,0.9575003594516265,0.97839105247995,0.9783888431410376,0.9782888210757319
glszm_GrayLevelVariance_log-sigma-1-0-mm-3D,0.9948019763317613,0.9948019140965879,0.994778093432883,0.9973942157016521,0.9973941844216818,0.9973822117937287
glszm_HighGrayLevelZoneEmphasis_log-sigma-1-0-mm-3D,0.9878206160812397,0.9878201450614255,0.9877437459793666,0.9938729964765278,0.9938727580717831,0.9938340874947165
glszm_LargeAreaEmphasis_log-sigma-1-0-mm-3D,0.9906131132824689,0.9906137339921709,0.9907447603704644,0.9952844243540362,0.9952847376426942,0.9953508657594994
glszm_LargeAreaHighGrayLevelEmphasis_log-sigma-1-0-mm-3D,0.9937844908249874,0.9937844596342684,0.9937744856996914,0.9968825571652227,0.9968825414724759,0.9968775233382908
glszm_LargeAreaLowGrayLevelEmphasis_log-sigma-1-0-mm-3D,0.8310466346443232,0.8310639326296235,0.8312341414435117,0.907728529596683,0.9077388482401243,0.9078403712900117
glszm_LowGrayLevelZoneEmphasis_log-sigma-1-0-mm-3D,0.9210945050974862,0.9210820112167901,0.9207904156665985,0.9589268020427191,0.9589200313560667,0.9587619848124282
glszm_SizeZoneNonUniformity_log-sigma-1-0-mm-3D,0.9997495403267858,0.9997495411402751,0.9997560355260369,0.9998747544789167,0.9998747548857633,0.999878002881537
glszm_SizeZoneNonUniformityNormalized_log-sigma-1-0-mm-3D,0.9541948347277066,0.9541925657112138,0.9540980408174626,0.9765605944410984,0.9765594061237691,0.9765098995937097
glszm_SmallAreaEmphasis_log-sigma-1-0-mm-3D,0.9614049041846972,0.9614007002863542,0.9611913083694203,0.9803227290127808,0.9803205435238141,0.980211674677038
glszm_SmallAreaHighGrayLevelEmphasis_log-sigma-1-0-mm-3D,0.9894420885062621,0.9894417624561379,0.9893806542179296,0.9946930289880088,0.9946928642279897,0.994661983990065
glszm_SmallAreaLowGrayLevelEmphasis_log-sigma-1-0-mm-3D,0.8275971107280848,0.8276376731400896,0.8280273044834782,0.9056669064205116,0.9056911939423024,0.9059244382757653
glszm_ZoneEntropy_log-sigma-1-0-mm-3D,0.96812270279246,0.968121638165229,0.9680569764837907,0.9838031962324753,0.9838026465353586,0.9837692587674571
glszm_ZonePercentage_log-sigma-1-0-mm-3D,0.9962176818854184,0.9962176401578744,0.9961956595645494,0.9981052576836164,0.9981052367407061,0.9980942046350905
glszm_ZoneVariance_log-sigma-1-0-mm-3D,0.9948794857700738,0.9948796813615309,0.994955691240509,0.9974331711431933,0.9974332694416065,0.9974714682728847
ngtdm_Busyness_log-sigma-1-0-mm-3D,0.9526497196832701,0.9526464656649931,0.9525155476226765,0.9757507555812877,0.9757490487050967,0.9756803716953041
ngtdm_Coarseness_log-sigma-1-0-mm-3D,0.740556747047821,0.740348284084418,0.7391604514744629,0.8509423761148703,0.8508047393213695,0.8500198481949166
ngtdm_Complexity_log-sigma-1-0-mm-3D,0.9986611455812747,0.9986611559161997,0.9986765739445259,0.9993301243576554,0.9993301295320435,0.9993378488181996
ngtdm_Contrast_log-sigma-1-0-mm-3D,0.8939493756380044,0.8939562013055277,0.8940712903661882,0.944005565446399,0.944009371166358,0.9440735361057438
ngtdm_Strength_log-sigma-1-0-mm-3D,0.987417263420598,0.9874167445003557,0.9873353077995279,0.9936687997981131,0.9936685370421351,0.9936272997562273
firstorder_10Percentile_log-sigma-2-0-mm-3D,0.994685545972136,0.9946854717426137,0.9946576860229573,0.9973356933183802,0.997335656005584,0.9973216888218578
firstorder_90Percentile_log-sigma-2-0-mm-3D,0.9934205548458954,0.9934204105311855,0.9933768327259709,0.9966994194285244,0.9966993467940556,0.9966774133393675
firstorder_Energy_log-sigma-2-0-mm-3D,0.9996681104464896,0.9996681126520917,0.9996813995980603,0.9998340276810054,0.9998340287841726,0.999840674418433
firstorder_Entropy_log-sigma-2-0-mm-3D,0.9848244333213508,0.9848242684293061,0.9848028674283524,0.9923542020020104,0.9923541182904302,0.9923432534177371
firstorder_InterquartileRange_log-sigma-2-0-mm-3D,0.99497791375805,0.9949778301634621,0.9949447076767277,0.9974826356686377,0.9974825936606392,0.9974659486532037
firstorder_Kurtosis_log-sigma-2-0-mm-3D,0.9027306185448528,0.9026989824224756,0.9021121722535895,0.9488790580720587,0.94886158111377,0.9485373001790769
firstorder_Maximum_log-sigma-2-0-mm-3D,0.9893096303379846,0.98930926236315,0.9892411607232885,0.9946260906301453,0.9946259046599168,0.9945914856935699
firstorder_MeanAbsoluteDeviation_log-sigma-2-0-mm-3D,0.9943024530603606,0.994302351961652,0.9942670669108786,0.9971430878345979,0.9971430369959983,0.9971252932045849
firstorder_Mean_log-sigma-2-0-mm-3D,0.99033081334237,0.9903306153977094,0.9902900695609436,0.9951419198292004,0.9951418198928932,0.9951213491000342
firstorder_Median_log-sigma-2-0-mm-3D,0.9912066500982816,0.991206483654184,0.9911689611569982,0.9955839089321621,0.9955838249734509,0.9955648972963749
firstorder_Minimum_log-sigma-2-0-mm-3D,0.9876312564420158,0.9876314391814739,0.9876606231590115,0.9937771437645204,0.9937772362749406,0.993792010216826
firstorder_Range_log-sigma-2-0-mm-3D,0.9896339642161904,0.9896338483114232,0.9896117182091969,0.9947899784733051,0.9947899199154787,0.9947787391400402
firstorder_RobustMeanAbsoluteDeviation_log-sigma-2-0-mm-3D,0.9949405293963544,0.9949404448211483,0.9949071826534186,0.9974638489072271,0.9974638064048548,0.9974470905760099
firstorder_RootMeanSquared_log-sigma-2-0-mm-3D,0.9946729046074299,0.9946728393766561,0.9946484802521135,0.9973293388704156,0.9973293060805858,0.9973170612261414
firstorder_Skewness_log-sigma-2-0-mm-3D,0.9559387153971453,0.9559322044514369,0.9556497712980203,0.9774730750733628,0.977469671265563,0.9773219983696042
firstorder_TotalEnergy_log-sigma-2-0-mm-3D,0.9991793491925853,0.9991793560766743,0.9991961197352719,0.9995895061602421,0.9995895096051131,0.9995978982468041
firstorder_Uniformity_log-sigma-2-0-mm-3D,0.9746206778318424,0.974620993881864,0.9746452684984916,0.9871472417699867,0.9871474038831907,0.9871598550352348
firstorder_Variance_log-sigma-2-0-mm-3D,0.9974792264868442,0.9974792074301395,0.9974641260441002,0.9987380226639005,0.9987380131114838,0.9987304533168653
glcm_Autocorrelation_log-sigma-2-0-mm-3D,0.9946880970089083,0.9946880332345344,0.9946641494839119,0.9973369756409249,0.9973369435836783,0.9973249378761488
